workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,H100_SXM5,1024,1,128,1.000000
gemm,H100_SXM5,1024,1,16,1.000000
gemm,H100_SXM5,1024,1,32,1.000000
gemm,H100_SXM5,1024,1,64,1.000000
gemm,H100_SXM5,1024,2,16,0.953800
gemm,H100_SXM5,1024,2,32,1.020698
gemm,H100_SXM5,1024,2,64,0.992431
gemm,H100_SXM5,1024,3,16,0.906201
gemm,H100_SXM5,1024,3,32,1.014746
gemm,H100_SXM5,1024,3,64,0.976848
gemm,H100_SXM5,1024,4,16,0.908619
gemm,H100_SXM5,1024,4,32,1.033520
gemm,H100_SXM5,1024,4,64,0.792321
gemm,H100_SXM5,2048,1,128,1.000000
gemm,H100_SXM5,2048,1,16,1.000000
gemm,H100_SXM5,2048,1,32,1.000000
gemm,H100_SXM5,2048,1,64,1.000000
gemm,H100_SXM5,2048,2,16,0.949763
gemm,H100_SXM5,2048,2,32,0.983159
gemm,H100_SXM5,2048,2,64,0.969629
gemm,H100_SXM5,2048,3,16,0.902830
gemm,H100_SXM5,2048,3,32,0.980420
gemm,H100_SXM5,2048,3,64,0.837208
gemm,H100_SXM5,2048,4,16,0.907093
gemm,H100_SXM5,2048,4,32,1.000379
gemm,H100_SXM5,2048,4,64,0.582301
gemm,H100_SXM5,256,1,128,1.000000
gemm,H100_SXM5,256,1,16,1.000000
gemm,H100_SXM5,256,1,32,1.000000
gemm,H100_SXM5,256,1,64,1.000000
gemm,H100_SXM5,256,2,16,1.003540
gemm,H100_SXM5,256,2,32,1.179928
gemm,H100_SXM5,256,2,64,0.970862
gemm,H100_SXM5,256,3,16,0.971722
gemm,H100_SXM5,256,3,32,1.169355
gemm,H100_SXM5,256,3,64,0.961326
gemm,H100_SXM5,256,4,16,0.965106
gemm,H100_SXM5,256,4,32,1.172507
gemm,H100_SXM5,256,4,64,1.006427
gemm,H100_SXM5,3072,1,128,1.000000
gemm,H100_SXM5,3072,1,16,1.000000
gemm,H100_SXM5,3072,1,32,1.000000
gemm,H100_SXM5,3072,1,64,1.000000
gemm,H100_SXM5,3072,2,16,0.930349
gemm,H100_SXM5,3072,2,32,0.981568
gemm,H100_SXM5,3072,2,64,0.968426
gemm,H100_SXM5,3072,3,16,0.885075
gemm,H100_SXM5,3072,3,32,0.976680
gemm,H100_SXM5,3072,3,64,0.792878
gemm,H100_SXM5,3072,4,16,0.909499
gemm,H100_SXM5,3072,4,32,0.999567
gemm,H100_SXM5,3072,4,64,0.504908
gemm,H100_SXM5,4096,1,128,1.000000
gemm,H100_SXM5,4096,1,16,1.000000
gemm,H100_SXM5,4096,1,32,1.000000
gemm,H100_SXM5,4096,1,64,1.000000
gemm,H100_SXM5,4096,2,16,0.917103
gemm,H100_SXM5,4096,2,32,0.979653
gemm,H100_SXM5,4096,2,64,0.973992
gemm,H100_SXM5,4096,3,16,0.877000
gemm,H100_SXM5,4096,3,32,0.973567
gemm,H100_SXM5,4096,3,64,0.820116
gemm,H100_SXM5,4096,4,16,0.908404
gemm,H100_SXM5,4096,4,32,0.997045
gemm,H100_SXM5,4096,4,64,0.499516
gemm,H100_SXM5,512,1,128,1.000000
gemm,H100_SXM5,512,1,16,1.000000
gemm,H100_SXM5,512,1,32,1.000000
gemm,H100_SXM5,512,1,64,1.000000
gemm,H100_SXM5,512,2,16,0.957079
gemm,H100_SXM5,512,2,32,1.141812
gemm,H100_SXM5,512,2,64,0.990244
gemm,H100_SXM5,512,3,16,0.916564
gemm,H100_SXM5,512,3,32,1.154478
gemm,H100_SXM5,512,3,64,0.950502
gemm,H100_SXM5,512,4,16,0.913017
gemm,H100_SXM5,512,4,32,1.149284
gemm,H100_SXM5,512,4,64,0.993706
gemm,H100_SXM5,6144,1,128,1.000000
gemm,H100_SXM5,6144,1,16,1.000000
gemm,H100_SXM5,6144,1,32,1.000000
gemm,H100_SXM5,6144,1,64,1.000000
gemm,H100_SXM5,6144,2,16,0.912999
gemm,H100_SXM5,6144,2,32,0.977523
gemm,H100_SXM5,6144,2,64,0.957851
gemm,H100_SXM5,6144,3,16,0.873515
gemm,H100_SXM5,6144,3,32,0.972199
gemm,H100_SXM5,6144,3,64,0.816718
gemm,H100_SXM5,6144,4,16,0.908558
gemm,H100_SXM5,6144,4,32,0.995731
gemm,H100_SXM5,6144,4,64,0.489894
gemm,H100_SXM5,8192,1,128,1.000000
gemm,H100_SXM5,8192,1,16,1.000000
gemm,H100_SXM5,8192,1,32,1.000000
gemm,H100_SXM5,8192,1,64,1.000000
gemm,H100_SXM5,8192,2,16,0.916665
gemm,H100_SXM5,8192,2,32,0.977077
gemm,H100_SXM5,8192,2,64,0.958403
gemm,H100_SXM5,8192,3,16,0.876525
gemm,H100_SXM5,8192,3,32,0.970581
gemm,H100_SXM5,8192,3,64,0.762546
gemm,H100_SXM5,8192,4,16,0.908442
gemm,H100_SXM5,8192,4,32,0.994343
gemm,H100_SXM5,8192,4,64,0.482990
stencil,H100_SXM5,1048576,1,256,1.000000
stencil,H100_SXM5,1048576,2,256,0.933123
stencil,H100_SXM5,1048576,3,256,0.956044
stencil,H100_SXM5,1048576,4,256,0.943240
stencil,H100_SXM5,16777216,1,256,1.000000
stencil,H100_SXM5,16777216,2,256,0.944542
stencil,H100_SXM5,16777216,3,256,0.975468
stencil,H100_SXM5,16777216,4,256,0.960078
stencil,H100_SXM5,262144,1,256,1.000000
stencil,H100_SXM5,262144,2,256,0.934049
stencil,H100_SXM5,262144,3,256,0.945652
stencil,H100_SXM5,262144,4,256,0.948598
stencil,H100_SXM5,4194304,1,256,1.000000
stencil,H100_SXM5,4194304,2,256,0.933112
stencil,H100_SXM5,4194304,3,256,0.962703
stencil,H100_SXM5,4194304,4,256,0.955985
stencil,H100_SXM5,65536,1,256,1.000000
stencil,H100_SXM5,65536,2,256,0.978873
stencil,H100_SXM5,65536,3,256,0.974299
stencil,H100_SXM5,65536,4,256,0.976581
stencil,H100_SXM5,67108864,1,256,1.000000
stencil,H100_SXM5,67108864,2,256,0.943814
stencil,H100_SXM5,67108864,3,256,0.975348
stencil,H100_SXM5,67108864,4,256,0.960439
