workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,V100,256,Ref,0,16,0.022528,1489.454534,1,0.000000
gemm,V100,256,V1,1,16,0.033776,993.440072,1,0.000025
gemm,V100,256,V0,0,16,0.030720,1092.266694,1,0.000025
gemm,V100,256,Ref,0,32,0.022528,1489.454534,1,0.000000
gemm,V100,256,V1,1,32,0.028672,1170.285698,1,0.000025
gemm,V100,256,V0,0,32,0.030720,1092.266694,1,0.000025
gemm,V100,256,Ref,0,64,0.022528,1489.454534,1,0.000000
gemm,V100,256,V1,1,64,0.041984,799.219525,1,0.000025
gemm,V100,256,V0,0,64,0.030720,1092.266694,1,0.000025
gemm,V100,256,Ref,0,128,0.022528,1489.454534,1,0.000000
gemm,V100,512,Ref,0,16,0.045056,5957.818135,1,0.000000
gemm,V100,512,V1,1,16,0.177664,1510.916454,1,0.000069
gemm,V100,512,V0,0,16,0.174576,1537.642385,1,0.000069
gemm,V100,512,Ref,0,32,0.045056,5957.818135,1,0.000000
gemm,V100,512,V1,1,32,0.105472,2545.087416,1,0.000069
gemm,V100,512,V0,0,32,0.172544,1555.750719,1,0.000069
gemm,V100,512,Ref,0,64,0.045056,5957.818135,1,0.000000
gemm,V100,512,V1,1,64,0.078848,3404.467667,1,0.000069
gemm,V100,512,V0,0,64,0.171520,1565.038786,1,0.000069
gemm,V100,512,Ref,0,128,0.045056,5957.818135,1,0.000000
gemm,V100,1024,Ref,0,16,0.220160,9754.195678,1,0.000000
gemm,V100,1024,V1,1,16,1.256448,1709.170293,1,0.000504
gemm,V100,1024,V0,0,16,1.217536,1763.794825,1,0.000504
gemm,V100,1024,Ref,0,32,0.220160,9754.195678,1,0.000000
gemm,V100,1024,V1,1,32,0.645632,3326.172885,1,0.000504
gemm,V100,1024,V0,0,32,1.214464,1768.256398,1,0.000504
gemm,V100,1024,Ref,0,64,0.220160,9754.195678,1,0.000000
gemm,V100,1024,V1,1,64,0.452608,4744.687895,1,0.000504
gemm,V100,1024,V0,0,64,1.217024,1764.536856,1,0.000504
gemm,V100,1024,Ref,0,128,0.220160,9754.195678,1,0.000000
gemm,V100,2048,Ref,0,16,1.427456,12035.305416,1,0.000000
gemm,V100,2048,V1,1,16,9.770976,1758.255170,1,0.002686
gemm,V100,2048,V0,0,16,8.846848,1941.919785,1,0.002686
gemm,V100,2048,Ref,0,32,1.427456,12035.305416,1,0.000000
gemm,V100,2048,V1,1,32,4.398592,3905.765573,1,0.002686
gemm,V100,2048,V0,0,32,8.764928,1960.069661,1,0.002686
gemm,V100,2048,Ref,0,64,1.427456,12035.305416,1,0.000000
gemm,V100,2048,V1,1,64,2.465280,6968.729566,1,0.002686
gemm,V100,2048,V0,0,64,8.766464,1959.726148,1,0.002686
gemm,V100,2048,Ref,0,128,1.427456,12035.305416,1,0.000000
gemm,V100,3072,Ref,0,16,4.604928,12591.306159,1,0.000000
gemm,V100,3072,V1,1,16,31.024128,1868.934352,1,0.000000
gemm,V100,3072,V0,0,16,31.578112,1836.147112,1,0.000000
gemm,V100,3072,Ref,0,32,4.604928,12591.306159,1,0.000000
gemm,V100,3072,V1,1,32,14.330880,4045.952500,1,0.000000
gemm,V100,3072,V0,0,32,31.565312,1836.891642,1,0.000000
gemm,V100,3072,Ref,0,64,4.604928,12591.306159,1,0.000000
gemm,V100,3072,V1,1,64,7.802880,7430.853724,1,0.000000
gemm,V100,3072,V0,0,64,31.592448,1835.313872,1,0.000000
gemm,V100,3072,Ref,0,128,4.604928,12591.306159,1,0.000000
gemm,V100,4096,Ref,0,16,10.214896,13454.758342,1,0.000000
gemm,V100,4096,V1,1,16,72.062977,1907.206162,1,0.000000
gemm,V100,4096,V0,0,16,72.055809,1907.395883,1,0.000000
gemm,V100,4096,Ref,0,32,10.214896,13454.758342,1,0.000000
gemm,V100,4096,V1,1,32,33.541088,4097.629542,1,0.000000
gemm,V100,4096,V0,0,32,72.049664,1907.558574,1,0.000000
gemm,V100,4096,Ref,0,64,10.214896,13454.758342,1,0.000000
gemm,V100,4096,V1,1,64,18.192385,7554.751924,1,0.000000
gemm,V100,4096,V0,0,64,72.038914,1907.843225,1,0.000000
gemm,V100,4096,Ref,0,128,10.214896,13454.758342,1,0.000000
gemm,V100,6144,Ref,0,16,33.795071,13725.565861,1,0.000000
gemm,V100,6144,V1,1,16,248.562172,1866.158733,1,0.000000
gemm,V100,6144,V0,0,16,253.444092,1830.212197,1,0.000000
gemm,V100,6144,Ref,0,32,33.795071,13725.565861,1,0.000000
gemm,V100,6144,V1,1,32,113.135616,4100.003899,1,0.000000
gemm,V100,6144,V0,0,32,253.476868,1829.975541,1,0.000000
gemm,V100,6144,Ref,0,64,33.795071,13725.565861,1,0.000000
gemm,V100,6144,V1,1,64,60.905472,7616.006481,1,0.000000
gemm,V100,6144,V0,0,64,253.418503,1830.397003,1,0.000000
gemm,V100,6144,Ref,0,128,33.795071,13725.565861,1,0.000000
gemm,V100,8192,Ref,0,16,80.556030,13649.029428,1,0.000000
gemm,V100,8192,V1,1,16,587.935730,1870.122144,1,0.000000
gemm,V100,8192,V0,0,16,596.766724,1842.447952,1,0.000000
gemm,V100,8192,Ref,0,32,80.556030,13649.029428,1,0.000000
gemm,V100,8192,V1,1,32,270.011398,4072.093381,1,0.000000
gemm,V100,8192,V0,0,32,596.776459,1842.417896,1,0.000000
gemm,V100,8192,Ref,0,64,80.556030,13649.029428,1,0.000000
gemm,V100,8192,V1,1,64,146.027527,7529.481951,1,0.000000
gemm,V100,8192,V0,0,64,596.754944,1842.484321,1,0.000000
gemm,V100,8192,Ref,0,128,80.556030,13649.029428,1,0.000000
